Объединение;Склад;Товар;Категория 1;Категория 2;Физ.доступно, шт.;Заказано, шт.;Резерв, шт.;Кол-во SKU, шт.
;;;;;504799;116101;14419;134
КЗН Пушкина;117;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;17;0;1;1
НСК Красный;118;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;29;0;0;1
НСК Красный;108;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
ЕКБ Пассаж;110;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;27;0;0;1
ЕКБ Пассаж;120;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;6;0;0;1
ЕКБ Пассаж;110-НИЗ;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;2;0;0;1
ЕКБ Большой;111;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;20;0;0;1
ЕКБ Большой;119;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;17;0;0;1
МСК Кунцево;114;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;7;0;0;1
МСК Кунцево;113;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;0;13;0;0
МСК Афимолл;116;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;26;0;0;1
САМ Коммунистическая;122;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
САМ Коммунистическая;123;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
РНД Горизонт;126;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;32;0;0;1
